"","GC","PGC","OSNs","M.TC"
"Scube1",0.0159552896592124,0.014530691012741,0.0154055403023579,0.885832300076494
"Syt10",0.393186125608994,0.0633818693042496,0.0170943479514335,0.0384442579717421
"Pfdn5",1.46308697282549,1.7806343904053,3.04792547397671,1.24526392799368
"Tagln3",0.653131627703463,1.31209964485083,0.256434092966536,0.376388833667795
"Son",1.97157783978537,2.27730870375271,0.250152289943489,0.954902608752183
"Pcp4",2.38320939560895,1.26579939295915,1.72990048628855,1.60380869920794
"Gng13",1.21752385681431,1.10158401507779,5.76137233178366,1.52994816370432
"Kank3",0.729606370000754,0.186921584154268,0.111855559849851,0.143270272766355
"Crim1",0.0299709022564625,0.00881737610806054,0.0341498000618004,0.602972631927711
"Adcyap1",0.00400402938165638,0.00466669629171988,0.00799196092525546,0.35130318840103
"Kif5b",0.621046128848326,0.647413967190948,2.09628026125598,0.511343308094786
"Nme5",0.0464286727407486,0.0443929300332185,0.474478913716402,0.053121766873875
"Ctxn3",0.0793215759312335,0.0299085272357519,0.529635428698212,0.0314606408200141
"Slc6a7",0.0384293685285916,0.141479462027506,0.0136091190072024,0.751997775648251
"Doc2g",0.389053895795746,0.402402938836916,1.47387043677062,1.15670076813628
"Fau",2.30291602317702,2.5454574136891,4.53536109150046,1.90300411517366
"Cox8a",2.7404015625767,3.25655051508745,4.02855246312749,2.53318417739144
"Fth1",2.79135043998298,2.81435509842405,4.03257158592456,2.91717194168721
"Ms4a15",0.0103355413634611,0.00583339850166054,0.0156737051414578,0.94048955068764
"4430402I18Rik",0.75603784995251,0.203193197976875,0.044215532670179,0.172309133819146
"Kcnip2",0.498677462761793,1.34254414128194,0.0967323088790768,0.153665052558471
"Usmg5",1.85034823359088,2.30152980197179,2.89635780458373,1.79221861426381
