"","Acinar_cells","Ductal_terminal_ductal_like","Ductal_CRISP3_high-centroacinar_like","Cancer_clone_A","Ductal_MHC_Class_II","Cancer_clone_B","mDCs_A","Ductal_APOL1_high-hypoxic","Tuft_cells","mDCs_B","pDCs","Endocrine_cells","Endothelial_cells","Macrophages_A","Mast_cells","Macrophages_B","T_cells_&_NK_cells","Monocytes","RBCs","Fibroblasts"
"ANXA4",0,0.684314091530258,0.697074914587918,1.03475020045109,0.731320272551779,1.11771412806731,0.824595047148113,0.810130720981587,0.760675510602103,0.540273973816533,0.472118968136533,0.846305171372108,0.623755653232477,0.92797342252342,0.80292872298917,0.700285668275568,0.658960953354298,0.469460178854411,0.846173494276912,0.908677210452424
"ANXA8",0,0.259303989913214,0,0.410263320147016,0.115822028049371,0.878790376453201,0,0.239262890184948,0,0,0,0,0.465091864014007,0,0,0,0,0,0,0
"ANXA8L1",0,0.149542970852243,0.0511764421443688,0.254239724787091,0.105309687546079,0.768737360841231,0,0,0,0,0,0,0.465091864014007,0,0,0,0,0,0,0
"APBB1IP",0,0.149288481297178,0,0,0.111311564348398,0,0.97743161508904,0,0,0.777844502595279,0.936543460266519,0,0,0.800313821028723,0.365309144024108,0.412349228031561,0.950699636008738,1.07726759635519,0,0
"APCDD1",0.307228442943389,0.521782122060438,0.849305923652644,0.322080813552243,0.480994707282323,0.376999465891526,0,0.441667616723293,0.498015707762269,0,0,0,1.03432601770638,0,0,0,0,0,0,1.11334552989401
"APCS",0,0.938969665176186,0.942131448254386,0.312121663338447,0.939120194486215,0.2529760696632,0.369096204151724,1.05000863549709,0.300034734857419,0,0,0,0.524817481352295,0.443321864094233,0,0.546074877939141,0.34863842464097,0,0.44822780799748,0
"APLNR",0,0,0,0,0,0,0,0,0,0,0,0,1.0173281499334,0,0,0,0,0,0,0
"APOL2",0,0.753555119252484,0.799164157863554,0.852769490149482,0.884036015655903,0.752218554681692,0.531454443590174,1.07780778369233,0.506116411752992,0,0,0,0,0.372589344745338,0.394794222106262,0.79704689550832,0.35952786912532,0,0.341777773194254,0.73725403178872
"AQP12A",0.349468904969048,0,0,0,0,0.101963084715889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AQP12B",0.378975771387407,0,0,0,0,0.101963084715889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AQP3",0.222191173861479,1.03016645982856,0.785691283583741,0.41527211567439,0.960507719096947,0.610079346825814,0.302549616930133,1.07097192247155,0.532462204666992,0,0.549756058122034,0.702555021732231,0.64797659462273,0.30227274776014,0.716368180253802,0,0.866384026688903,0,0.814866619311551,0
"AQP5",0,1.01071849033653,0.934887250436111,0.665338184906654,1.00367781774346,0.602983344819997,0,0.614395175729922,0.85931927612902,0,0,0,0,0,0,0,0.353544045348331,0,0.415816151082969,0
